113,118,59,104,66
"[(14, 2553667, 61.8, 5184000), (15, 2490335, 61.5, 5184000), (16, 2464832, 61.7, 5184000), (17, 2441070, 61.0, 5184000), (18, 2418747, 62.4, 5184000), (20, 2363212, 63.9, 5184000), (22, 2310690, 62.3, 5184000), (23, 2291130, 63.8, 5184000), (24, 2273078, 64.4, 5184000), (25, 2260053, 65.0, 5184000), (26, 2247466, 63.1, 5184000), (27, 2234127, 64.7, 5184000), (28, 2215822, 65.1, 5184000), (29, 2200972, 64.8, 5184000), (30, 2183930, 64.8, 5184000), (31, 2171725, 64.5, 5184000), (32, 2158846, 67.3, 5184000), (33, 2147316, 67.6, 5184000), (34, 2137438, 67.3, 5184000), (35, 2123023, 66.2, 5184000), (36, 2107437, 66.6, 5184000), (37, 2094897, 66.9, 5184000), (38, 2076393, 65.5, 5184000), (39, 2059476, 66.8, 5184000), (40, 2042661, 67.4, 5184000), (41, 2019066, 67.4, 5184000), (42, 1992893, 68.3, 5184000), (43, 1969929, 67.3, 5184000), (44, 1950072, 67.8, 5184000), (45, 1932483, 65.8, 5184000), (46, 1910584, 66.3, 5184000), (47, 1897701, 66.8, 5184000), (48, 1877797, 66.6, 5184000), (49, 1861665, 67.3, 5184000), (50, 1841749, 67.6, 5184000), (51, 1825349, 67.8, 5184000), (52, 1808118, 67.9, 5184000), (53, 1790570, 68.6, 5184000), (54, 1775761, 68.4, 5184000), (55, 1759415, 68.0, 5184000), (56, 1747155, 66.2, 5184000), (57, 1737364, 69.2, 5184000), (58, 1728616, 68.5, 5184000), (59, 1722550, 67.6, 5184000), (60, 1714603, 68.9, 5184000), (61, 1705304, 69.3, 5184000), (62, 1698208, 68.9, 5184000), (63, 1690512, 69.2, 5184000), (64, 1682347, 66.9, 5184000), (65, 1674054, 67.8, 5184000), (66, 1667739, 69.5, 5184000), (67, 1661359, 68.9, 5184000), (68, 1654975, 69.4, 5184000), (69, 1647849, 69.7, 5184000), (70, 1642719, 69.9, 5184000), (71, 1636299, 69.1, 5184000), (72, 1629300, 69.4, 5184000), (73, 1623012, 67.9, 5184000), (74, 1616759, 68.9, 5184000), (75, 1610879, 70.3, 5184000), (76, 1604190, 71.9, 5184000), (77, 1598394, 69.6, 5184000), (78, 1593396, 69.5, 5184000), (79, 1588470, 69.2, 5184000), (80, 1582938, 71.3, 5184000), (81, 1577862, 71.1, 5184000), (82, 1573518, 71.7, 5184000), (83, 1568879, 70.6, 5184000), (84, 1564506, 71.0, 5184000), (85, 1558602, 71.3, 5184000), (86, 1552778, 70.4, 5184000), (87, 1548444, 69.9, 5184000), (88, 1542918, 70.0, 5184000), (89, 1536720, 71.8, 5184000), (90, 1530570, 71.0, 5184000), (91, 1525446, 69.8, 5184000), (92, 1520562, 70.3, 5184000), (93, 1514916, 69.9, 5184000), (94, 1509858, 72.0, 5184000), (95, 1503762, 70.8, 5184000), (96, 1497384, 70.9, 5184000), (97, 1490634, 71.6, 5184000), (98, 1484406, 71.6, 5184000), (99, 1477956, 71.8, 5184000), (100, 1471122, 70.4, 5184000), (101, 1465770, 73.0, 5184000), (102, 1459344, 70.7, 5184000), (103, 1453050, 71.8, 5184000), (104, 1446834, 73.6, 5184000), (105, 1438518, 71.7, 5184000), (106, 1431888, 72.2, 5184000), (107, 1425192, 73.1, 5184000), (108, 1419240, 73.3, 5184000), (109, 1412340, 71.2, 5184000), (110, 1405488, 71.7, 5184000), (111, 1398378, 71.8, 5184000), (112, 1393224, 72.3, 5184000), (113, 1386672, 73.0, 5184000), (114, 1379856, 72.3, 5184000), (115, 1373148, 72.6, 5184000), (116, 1365966, 72.1, 5184000), (117, 1357860, 71.1, 5184000), (118, 1352106, 72.4, 5184000), (119, 1345278, 73.5, 5184000), (120, 1338768, 73.7, 5184000), (121, 1330698, 73.0, 5184000), (122, 1322466, 72.1, 5184000), (123, 1313490, 74.2, 5184000), (124, 1305078, 72.8, 5184000), (125, 1294830, 72.8, 5184000), (126, 1285098, 74.9, 5184000), (127, 1265544, 73.9, 5184000), (128, 1250988, 74.3, 5184000), (-1, 0, 75.8, 100)]","[(6, 5476461, 64.4, 6912000), (7, 5351672, 65.7, 6912000), (12, 4970849, 61.0, 6912000), (13, 4948359, 63.5, 6912000), (14, 4904273, 60.9, 6912000), (15, 4876328, 63.5, 6912000), (17, 4828701, 61.6, 6912000), (18, 4803677, 62.3, 6912000), (19, 4783667, 62.0, 6912000), (20, 4764713, 65.3, 6912000), (21, 4745458, 66.5, 6912000), (22, 4721781, 63.9, 6912000), (23, 4692806, 68.4, 6912000), (24, 4652288, 69.8, 6912000), (25, 4632423, 68.7, 6912000), (26, 4612447, 69.1, 6912000), (27, 4589078, 69.1, 6912000), (28, 4567745, 72.2, 6912000), (29, 4547423, 70.1, 6912000), (30, 4516120, 69.3, 6912000), (31, 4495015, 71.0, 6912000), (32, 4464998, 71.5, 6912000), (33, 4436644, 70.5, 6912000), (34, 4404218, 68.2, 6912000), (35, 4367676, 69.2, 6912000), (36, 4331280, 70.5, 6912000), (37, 4281831, 66.8, 6912000), (38, 4261317, 66.6, 6912000), (39, 4238638, 69.1, 6912000), (40, 4216638, 67.3, 6912000), (41, 4185451, 67.9, 6912000), (42, 4166556, 68.3, 6912000), (43, 4141924, 66.1, 6912000), (44, 4122846, 68.1, 6912000), (45, 4093015, 68.5, 6912000), (46, 4076291, 63.7, 6912000), (47, 4059961, 65.7, 6912000), (48, 4046172, 66.8, 6912000), (49, 4034093, 69.2, 6912000), (50, 4023993, 67.9, 6912000), (51, 4013514, 66.0, 6912000), (52, 4002063, 66.6, 6912000), (53, 3991578, 67.9, 6912000), (54, 3981154, 68.5, 6912000), (55, 3973557, 71.2, 6912000), (56, 3963886, 67.4, 6912000), (57, 3952630, 68.9, 6912000), (58, 3943044, 68.4, 6912000), (59, 3934863, 69.0, 6912000), (60, 3925959, 68.5, 6912000), (61, 3916439, 69.4, 6912000), (62, 3906043, 69.4, 6912000), (63, 3892470, 71.0, 6912000), (64, 3880380, 70.8, 6912000), (65, 3863353, 71.3, 6912000), (66, 3853103, 70.6, 6912000), (67, 3843608, 71.1, 6912000), (68, 3835298, 72.7, 6912000), (69, 3826062, 72.1, 6912000), (70, 3816874, 72.4, 6912000), (71, 3807743, 72.7, 6912000), (72, 3800013, 72.8, 6912000), (73, 3790390, 72.0, 6912000), (74, 3782525, 72.7, 6912000), (75, 3772542, 71.9, 6912000), (76, 3763973, 72.9, 6912000), (77, 3750592, 73.8, 6912000), (78, 3741137, 73.2, 6912000), (79, 3729616, 72.4, 6912000), (80, 3718714, 72.7, 6912000), (81, 3708381, 73.3, 6912000), (82, 3699574, 73.3, 6912000), (83, 3690572, 74.4, 6912000), (84, 3681722, 73.4, 6912000), (85, 3672486, 74.2, 6912000), (86, 3662855, 73.2, 6912000), (87, 3653289, 73.5, 6912000), (88, 3643007, 73.0, 6912000), (89, 3632041, 75.0, 6912000), (90, 3620952, 72.3, 6912000), (91, 3609596, 72.3, 6912000), (92, 3599886, 74.0, 6912000), (93, 3585156, 73.5, 6912000), (94, 3573382, 73.2, 6912000), (95, 3558814, 74.6, 6912000), (96, 3546703, 73.4, 6912000), (97, 3532990, 74.3, 6912000), (98, 3514790, 73.6, 6912000), (99, 3496629, 74.6, 6912000), (100, 3474719, 74.0, 6912000), (101, 3416089, 74.2, 6912000), (102, 3399865, 72.6, 6912000), (103, 3388134, 72.6, 6912000), (104, 3375882, 74.8, 6912000), (105, 3367080, 73.6, 6912000), (106, 3355344, 72.0, 6912000), (107, 3342774, 73.8, 6912000), (108, 3333468, 73.5, 6912000), (109, 3323532, 75.4, 6912000), (110, 3314910, 73.8, 6912000), (111, 3302148, 74.8, 6912000), (112, 3291444, 72.3, 6912000), (113, 3280386, 73.9, 6912000), (114, 3268218, 75.1, 6912000), (115, 3255180, 75.2, 6912000), (116, 3233184, 74.7, 6912000), (117, 3221190, 73.2, 6912000), (118, 3209142, 74.7, 6912000), (119, 3196668, 76.2, 6912000), (120, 3181170, 75.3, 6912000), (121, 3164724, 74.5, 6912000), (122, 3138402, 75.2, 6912000), (123, 3126756, 74.6, 6912000), (124, 3110400, 74.4, 6912000), (125, 3094212, 75.5, 6912000), (126, 3072300, 75.7, 6912000), (127, 3040368, 75.7, 6912000), (128, 2990118, 75.1, 6912000), (-1, 0, 75.8, 100)]","[(66, 1935230, 61.4, 3456000), (69, 1929271, 62.4, 3456000), (70, 1912216, 63.9, 3456000), (71, 1896047, 64.1, 3456000), (73, 1874541, 61.3, 3456000), (74, 1870926, 60.9, 3456000), (75, 1867988, 61.8, 3456000), (76, 1862832, 62.3, 3456000), (78, 1848218, 61.3, 3456000), (79, 1843024, 62.4, 3456000), (80, 1839150, 62.9, 3456000), (81, 1827945, 63.4, 3456000), (82, 1803961, 68.5, 3456000), (83, 1793699, 67.4, 3456000), (84, 1789468, 67.3, 3456000), (85, 1787141, 67.3, 3456000), (86, 1783851, 68.3, 3456000), (87, 1768065, 71.4, 3456000), (88, 1758394, 71.1, 3456000), (89, 1749535, 70.3, 3456000), (90, 1745194, 71.3, 3456000), (91, 1743351, 71.4, 3456000), (92, 1731212, 69.8, 3456000), (93, 1715705, 70.4, 3456000), (94, 1703328, 70.6, 3456000), (95, 1690867, 70.0, 3456000), (96, 1690791, 69.9, 3456000), (97, 1684981, 71.8, 3456000), (98, 1675223, 71.6, 3456000), (99, 1656744, 71.5, 3456000), (100, 1636825, 70.8, 3456000), (101, 1634319, 71.2, 3456000), (102, 1633333, 70.8, 3456000), (103, 1629109, 70.9, 3456000), (104, 1616705, 72.0, 3456000), (105, 1597248, 73.8, 3456000), (106, 1597248, 73.8, 3456000), (107, 1596777, 74.1, 3456000), (108, 1593806, 74.2, 3456000), (109, 1577797, 74.4, 3456000), (110, 1539158, 73.3, 3456000), (111, 1529082, 73.6, 3456000), (112, 1529082, 73.6, 3456000), (113, 1528601, 73.2, 3456000), (114, 1524525, 72.5, 3456000), (115, 1492609, 74.8, 3456000), (116, 1471488, 75.0, 3456000), (117, 1471488, 75.0, 3456000), (118, 1471488, 75.0, 3456000), (119, 1469812, 74.7, 3456000), (120, 1444000, 75.2, 3456000), (121, 1413053, 76.2, 3456000), (122, 1390158, 75.5, 3456000), (123, 1390158, 75.5, 3456000), (124, 1390158, 75.5, 3456000), (125, 1370772, 75.2, 3456000), (126, 1334616, 75.4, 3456000), (127, 1284264, 75.6, 3456000), (128, 1224978, 76.3, 3456000), (-1, 0, 75.8, 100)]","[(25, 1048296, 74.9, 2304000), (26, 948607, 73.6, 2304000), (27, 923561, 74.5, 2304000), (28, 920357, 75.2, 2304000), (29, 920201, 74.8, 2304000), (30, 920201, 74.8, 2304000), (31, 870474, 75.2, 2304000), (32, 834362, 74.8, 2304000), (33, 823244, 74.3, 2304000), (34, 822130, 73.8, 2304000), (35, 822130, 73.8, 2304000), (36, 822130, 73.8, 2304000), (37, 806966, 73.3, 2304000), (38, 795943, 74.2, 2304000), (39, 793925, 74.6, 2304000), (40, 793925, 74.6, 2304000), (41, 769293, 75.0, 2304000), (42, 747768, 74.7, 2304000), (43, 734701, 74.8, 2304000), (44, 732778, 75.2, 2304000), (45, 732778, 75.2, 2304000), (46, 732778, 75.2, 2304000), (47, 710612, 75.1, 2304000), (48, 687941, 75.3, 2304000), (49, 681307, 74.7, 2304000), (50, 681307, 74.7, 2304000), (51, 681307, 74.7, 2304000), (52, 681307, 74.7, 2304000), (53, 666541, 74.8, 2304000), (54, 658948, 75.2, 2304000), (55, 658948, 75.2, 2304000), (56, 658948, 75.2, 2304000), (57, 645560, 75.6, 2304000), (58, 628807, 75.7, 2304000), (59, 619120, 75.6, 2304000), (60, 618178, 75.6, 2304000), (61, 618178, 75.6, 2304000), (62, 618178, 75.6, 2304000), (63, 592459, 75.7, 2304000), (64, 575397, 75.4, 2304000), (65, 572537, 75.4, 2304000), (66, 572537, 75.4, 2304000), (67, 572537, 75.4, 2304000), (68, 572537, 75.4, 2304000), (69, 559562, 75.3, 2304000), (70, 556468, 75.6, 2304000), (71, 556391, 75.7, 2304000), (72, 556391, 75.7, 2304000), (73, 533243, 75.3, 2304000), (74, 510691, 76.2, 2304000), (75, 503552, 75.6, 2304000), (76, 501630, 76.2, 2304000), (77, 501498, 76.3, 2304000), (78, 501498, 76.3, 2304000), (79, 470883, 76.2, 2304000), (80, 456405, 76.3, 2304000), (81, 453443, 76.7, 2304000), (82, 452516, 76.3, 2304000), (83, 452516, 76.3, 2304000), (84, 452516, 76.3, 2304000), (85, 445618, 76.2, 2304000), (86, 439526, 75.9, 2304000), (87, 437269, 76.2, 2304000), (88, 436939, 76.1, 2304000), (89, 399958, 75.5, 2304000), (90, 379371, 75.7, 2304000), (91, 370697, 75.3, 2304000), (92, 365881, 75.5, 2304000), (93, 365414, 76.0, 2304000), (94, 365329, 76.0, 2304000), (95, 344748, 76.4, 2304000), (96, 329388, 76.2, 2304000), (97, 317941, 76.1, 2304000), (98, 313819, 76.2, 2304000), (99, 313097, 76.1, 2304000), (100, 313026, 76.0, 2304000), (101, 301457, 76.2, 2304000), (102, 286046, 76.3, 2304000), (103, 279934, 76.4, 2304000), (104, 278550, 76.3, 2304000), (105, 278292, 76.3, 2304000), (106, 278292, 76.3, 2304000), (107, 262626, 75.7, 2304000), (108, 243649, 76.7, 2304000), (109, 236381, 76.3, 2304000), (110, 234141, 76.7, 2304000), (111, 233688, 76.7, 2304000), (112, 233688, 76.7, 2304000), (113, 220379, 76.7, 2304000), (114, 204791, 76.6, 2304000), (115, 196443, 76.5, 2304000), (116, 194820, 76.5, 2304000), (117, 194820, 76.5, 2304000), (118, 194820, 76.5, 2304000), (119, 183469, 76.1, 2304000), (120, 168149, 76.5, 2304000), (121, 157171, 76.2, 2304000), (122, 154050, 76.1, 2304000), (123, 154050, 76.1, 2304000), (124, 154050, 76.1, 2304000), (125, 142152, 76.2, 2304000), (126, 122172, 76.1, 2304000), (127, 102360, 76.1, 2304000), (128, 85500, 76.0, 2304000), (-1, 0, 75.8, 100)]","[(63, 1006251, 61.6, 2304000), (64, 952906, 65.7, 2304000), (65, 947960, 65.1, 2304000), (66, 947606, 65.1, 2304000), (67, 947606, 65.1, 2304000), (68, 947606, 65.1, 2304000), (69, 933948, 65.2, 2304000), (70, 872571, 67.3, 2304000), (71, 856627, 66.7, 2304000), (72, 856306, 67.4, 2304000), (73, 854692, 66.8, 2304000), (74, 852267, 67.1, 2304000), (75, 848474, 67.3, 2304000), (76, 847900, 67.5, 2304000), (77, 847679, 67.4, 2304000), (78, 847482, 67.0, 2304000), (79, 843449, 66.8, 2304000), (80, 828108, 66.7, 2304000), (81, 820905, 67.2, 2304000), (82, 820675, 67.1, 2304000), (83, 820675, 67.1, 2304000), (84, 820675, 67.1, 2304000), (85, 765631, 68.6, 2304000), (86, 685243, 68.5, 2304000), (87, 682806, 69.4, 2304000), (88, 682390, 69.2, 2304000), (89, 682372, 69.3, 2304000), (90, 681848, 69.0, 2304000), (91, 666610, 68.4, 2304000), (92, 385120, 76.7, 2304000), (93, 347974, 76.7, 2304000), (94, 347414, 76.7, 2304000), (95, 347223, 76.7, 2304000), (96, 346612, 76.7, 2304000), (97, 345528, 76.8, 2304000), (98, 337865, 76.3, 2304000), (99, 318589, 76.5, 2304000), (100, 308527, 76.7, 2304000), (101, 305707, 76.6, 2304000), (102, 304844, 76.5, 2304000), (103, 303163, 76.7, 2304000), (104, 302676, 76.7, 2304000), (105, 302676, 76.7, 2304000), (106, 302676, 76.7, 2304000), (107, 302087, 76.5, 2304000), (108, 299344, 76.6, 2304000), (109, 295417, 76.6, 2304000), (110, 291732, 76.5, 2304000), (111, 291180, 76.5, 2304000), (112, 291180, 76.5, 2304000), (113, 289601, 76.1, 2304000), (114, 280545, 76.5, 2304000), (115, 265151, 76.1, 2304000), (116, 259578, 76.1, 2304000), (117, 259578, 76.1, 2304000), (118, 259578, 76.1, 2304000), (119, 259236, 76.3, 2304000), (120, 253845, 76.2, 2304000), (121, 224899, 76.0, 2304000), (122, 204408, 76.1, 2304000), (123, 204408, 76.1, 2304000), (124, 204408, 76.1, 2304000), (125, 204408, 76.1, 2304000), (126, 202926, 76.0, 2304000), (127, 197478, 75.9, 2304000), (128, 179646, 75.9, 2304000), (-1, 0, 75.8, 100)]"
option,accuracy,operations saved,total operations,% saved
"[0, 0, 0, 0, 0]",24.2,11061823,20160000,0.5487015376984127
"[0, 0, 1, 0, 0]",27.1,11045001,20160000,0.5478671130952381
"[0, 0, 2, 0, 0]",26.4,11039248,20160000,0.547581746031746
"[0, 0, 2, 0, 1]",26.7,11000127,20160000,0.5456412202380952
"[0, 0, 3, 0, 1]",27.0,10989102,20160000,0.5450943452380952
"[0, 1, 3, 0, 1]",24.9,10869907,20160000,0.5391818948412699
"[1, 1, 3, 0, 1]",27.0,10817044,20160000,0.5365597222222223
