option,accuracy,operations saved,total operations,% saved
"[0, 2, 3, 0, 2]",25.1,10821125,20160000,0.5367621527777777
"[0, 2, 4, 0, 2]",25.1,10821125,20160000,0.5367621527777777
"[0, 2, 5, 0, 2]",25.1,10821125,20160000,0.5367621527777777
"[0, 2, 6, 0, 2]",33.0,10628721,20160000,0.5272183035714286
"[1, 2, 6, 0, 2]",34.0,10409731,20160000,0.5163557043650794
"[2, 2, 6, 0, 2]",32.9,10393527,20160000,0.5155519345238095
"[3, 2, 6, 0, 2]",32.2,10353414,20160000,0.5135622023809524
"[4, 2, 6, 0, 2]",32.0,10378470,20160000,0.5148050595238095
"[5, 2, 6, 0, 2]",33.6,10374261,20160000,0.5145962797619048
"[6, 2, 6, 0, 2]",34.1,10388932,20160000,0.5153240079365079
"[6, 2, 6, 0, 3]",39.1,10337349,20160000,0.5127653273809524
"[6, 2, 6, 0, 4]",39.1,10337349,20160000,0.5127653273809524
"[6, 2, 6, 0, 5]",39.1,10337349,20160000,0.5127653273809524
"[6, 2, 6, 0, 6]",39.1,10337349,20160000,0.5127653273809524
"[6, 2, 6, 0, 7]",39.1,10337349,20160000,0.5127653273809524
"[6, 2, 6, 0, 8]",35.9,10269020,20160000,0.509375992063492
"[6, 2, 6, 0, 9]",38.1,10245397,20160000,0.5082042162698412
"[6, 2, 6, 0, 10]",38.1,10245397,20160000,0.5082042162698412
"[6, 2, 6, 0, 11]",38.1,10245397,20160000,0.5082042162698412
"[6, 2, 6, 0, 12]",38.1,10245397,20160000,0.5082042162698412
"[6, 2, 6, 0, 13]",38.1,10245397,20160000,0.5082042162698412
"[6, 2, 6, 0, 14]",34.1,10254882,20160000,0.5086747023809524
"[6, 2, 6, 0, 15]",34.1,10254882,20160000,0.5086747023809524
"[6, 2, 6, 0, 16]",34.1,10254882,20160000,0.5086747023809524
"[6, 2, 6, 0, 17]",34.1,10254882,20160000,0.5086747023809524
"[6, 2, 6, 0, 18]",34.1,10254882,20160000,0.5086747023809524
"[6, 2, 6, 0, 19]",39.1,10191518,20160000,0.5055316468253969
"[6, 2, 6, 0, 20]",39.1,10191518,20160000,0.5055316468253969
